pracownik_id|stanowisko_id|rodzaj_zatrudnienia_id|status_pracownika_id|imie|nazwisko|mail
1|2|4|4|Nicholas|Johnston|nicholas.johnston1@example.com
2|9|3|5|Mark|Moreno|mark.moreno2@example.com
3|2|4|3|Alexander|Young|alexander.young3@example.com
4|7|3|5|Holly|Davis|holly.davis4@example.com
5|7|5|1|Gary|Anderson|gary.anderson5@example.com
6|5|2|2|Dominic|Murray|dominic.murray6@example.com
7|4|2|3|Thomas|Hale|thomas.hale7@example.com
8|10|3|4|Bruce|Berry|bruce.berry8@example.com
9|10|2|1|April|Adams|april.adams9@example.com
10|10|3|2|Katie|Williams|katie.williams10@example.com
11|5|1|2|Kelli|Foster|kelli.foster11@example.com
12|5|2|3|Karen|Patterson|karen.patterson12@example.com
13|6|2|3|Brian|Rubio|brian.rubio13@example.com
14|5|1|5|Valerie|Johnson|valerie.johnson14@example.com
15|4|5|2|Evelyn|Robinson|evelyn.robinson15@example.com
16|3|2|3|David|Chen|david.chen16@example.com
17|5|5|3|Angela|Boyd|angela.boyd17@example.com
18|6|2|4|Jon|Davenport|jon.davenport18@example.com
19|4|1|5|Jacqueline|Stevenson|jacqueline.stevenson19@example.com
20|9|4|1|Joseph|Thompson|joseph.thompson20@example.com
21|1|3|5|Jennifer|Pearson|jennifer.pearson21@example.com
22|9|5|4|Jeffrey|Sullivan|jeffrey.sullivan22@example.com
23|2|5|1|Carmen|Freeman|carmen.freeman23@example.com
24|1|1|1|Jesse|Wilcox|jesse.wilcox24@example.com
25|9|4|5|Katrina|Bernard|katrina.bernard25@example.com
26|2|2|3|Jeremy|Harrison|jeremy.harrison26@example.com
27|1|4|5|Michelle|Pacheco|michelle.pacheco27@example.com
28|10|2|5|Anna|Anderson|anna.anderson28@example.com
29|4|1|4|Taylor|Flores|taylor.flores29@example.com
30|10|1|2|Kristen|Andrews|kristen.andrews30@example.com
31|10|5|4|Ronald|Pearson|ronald.pearson31@example.com
32|5|1|2|Valerie|Bentley|valerie.bentley32@example.com
33|1|1|3|Joseph|Aguilar|joseph.aguilar33@example.com
34|3|1|1|Erika|Miller|erika.miller34@example.com
35|9|3|5|Amy|Cohen|amy.cohen35@example.com
36|2|4|1|Elizabeth|Reid|elizabeth.reid36@example.com
37|4|1|1|Jade|Burnett|jade.burnett37@example.com
38|9|3|2|Paul|Maldonado|paul.maldonado38@example.com
39|5|3|4|Amy|Romero|amy.romero39@example.com
40|2|2|3|Kent|Oneill|kent.oneill40@example.com
41|7|4|2|Christina|Jones|christina.jones41@example.com
42|1|4|1|Kimberly|Camacho|kimberly.camacho42@example.com
43|10|2|5|Charles|Barber|charles.barber43@example.com
44|8|1|2|Patricia|Anderson|patricia.anderson44@example.com
45|10|5|1|Mike|Thompson|mike.thompson45@example.com
46|1|2|1|Terry|Hall|terry.hall46@example.com
47|1|4|2|Reginald|Weiss|reginald.weiss47@example.com
48|9|2|1|Sharon|Wilson|sharon.wilson48@example.com
49|4|2|3|Andrew|Simon|andrew.simon49@example.com
50|6|1|3|Lynn|Miller|lynn.miller50@example.com
51|9|1|3|Jenna|Edwards|jenna.edwards51@example.com
52|1|2|2|Cheryl|Mcfarland|cheryl.mcfarland52@example.com
